idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
53,120,18000,186.670214,32,4;5;5;5;9;4;4;3;4;3;3;4;6;5;4;3;4;3;3;3;4;3;3;3;3;3;3;4;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1976.564083
54,120,18000,193.725243,30,7;4;5;3;4;4;3;4;3;4;4;4;3;5;5;6;3;5;3;6;4;7;3;4;4;3;2;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1981.885568
55,120,18000,141.021092,32,3;4;5;5;3;5;5;4;3;3;3;3;6;4;3;4;5;6;3;5;3;6;4;3;3;2;3;2;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1955.871763
56,120,18000,172.701359,31,5;6;3;5;3;4;5;4;4;5;3;4;4;5;4;4;3;5;4;5;6;3;3;3;4;3;4;2;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1928.041567
57,120,18000,141.790948,31,4;5;5;5;6;8;4;3;5;5;4;4;6;7;3;3;3;4;3;3;2;3;4;4;2;3;2;2;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1942.213775
58,120,18000,127.506695,29,4;4;6;4;7;5;3;4;4;4;7;4;6;3;3;5;5;3;5;4;3;4;4;5;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1935.318537
59,120,18000,144.593045,29,4;4;4;6;5;4;6;4;4;7;4;7;5;3;4;5;4;3;4;5;4;4;3;3;2;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1945.991613
60,120,18000,160.735489,31,5;5;3;4;3;3;3;5;3;3;4;3;3;3;4;3;6;5;4;7;5;4;4;3;5;4;3;5;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1940.202425
61,120,18000,232.821354,34,4;4;5;4;3;3;4;7;5;5;4;3;3;3;4;3;6;3;3;3;3;3;3;3;5;3;4;2;2;2;3;2;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1912.567858
62,120,18000,191.923805,31,5;4;3;5;4;4;6;4;5;6;4;3;5;4;3;4;4;3;3;3;6;4;4;3;3;3;3;2;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1930.026621
63,120,18000,203.730472,31,5;5;8;3;3;5;5;3;3;4;6;3;6;3;4;3;4;4;4;4;3;4;3;3;3;3;3;3;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1954.600991
64,120,18000,155.859330,29,4;3;5;4;4;4;4;5;4;6;4;4;3;6;5;4;5;4;3;4;6;3;3;4;5;4;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1954.999267
65,120,18000,171.957159,30,3;6;3;4;4;4;5;4;6;9;4;6;3;4;3;6;4;4;4;3;5;2;3;4;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1940.013345
66,120,18000,169.658359,30,4;4;4;4;4;3;4;6;3;4;7;3;3;4;3;7;4;5;7;3;3;3;4;3;5;3;4;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1942.426495
67,120,18000,159.257038,33,6;4;3;4;3;4;4;4;5;5;3;3;3;5;4;8;4;6;4;4;4;3;3;3;2;3;2;2;2;2;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1895.517233
68,120,18000,166.974737,31,4;4;3;5;3;4;3;4;4;5;3;4;3;5;5;6;5;4;4;4;5;5;3;4;3;3;4;4;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1935.443117
69,120,18000,178.245056,31,3;7;5;3;3;5;7;3;4;3;3;4;4;4;5;4;3;4;3;3;6;4;4;3;4;4;4;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1915.700794
70,120,18000,163.035436,31,6;4;5;5;3;5;5;3;5;4;3;3;6;4;4;3;7;3;3;5;4;4;3;3;4;3;3;3;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1947.319560
71,120,18000,165.698606,33,4;4;4;3;5;5;4;3;4;6;3;3;3;3;3;5;3;3;4;3;3;3;4;3;3;4;3;3;4;3;4;5;3,time,0.25;0.2;0.166667;0.142857;0.125,1926.925594
